points,M=17:21,F=17:21,M=22:26,F=22:26,M=27:31,F=27:31,M=32:36,F=32:36,M=37:41,F=37:41,M=42:46,F=42:46,M=47:51,F=47:51,M=52:56,F=52:56,M=57:61,F=57:61,M=62:62,F=62:62
75,00:02:19,00:02:19,00:02:14,00:02:14,00:02:09,00:02:09,00:02:04,00:02:04,00:01:59,00:01:59,00:01:59,00:01:59,00:01:59,00:01:59,00:01:59,00:01:59,00:01:59,00:01:59,00:01:59,00:01:59
74,00:02:15,00:02:15,00:02:10,00:02:10,00:02:06,00:02:06,00:02:00,00:02:00,00:01:56,00:01:56,00:01:56,00:01:56,00:01:56,00:01:56,00:01:56,00:01:56,00:01:56,00:01:56,00:01:56,00:01:56
73,00:02:12,00:02:12,00:02:07,00:02:07,00:02:02,00:02:02,00:01:57,00:01:57,00:01:52,00:01:52,00:01:52,00:01:52,00:01:52,00:01:52,00:01:52,00:01:52,00:01:52,00:01:52,00:01:52,00:01:52
72,00:02:09,00:02:09,00:02:04,00:02:04,00:01:59,00:01:59,00:01:54,00:01:54,00:01:49,00:01:49,00:01:49,00:01:49,00:01:49,00:01:49,00:01:49,00:01:49,00:01:49,00:01:49,00:01:49,00:01:49
71,00:02:06,00:02:06,00:02:01,00:02:01,00:01:56,00:01:56,00:01:51,00:01:51,00:01:46,00:01:46,00:01:46,00:01:46,00:01:46,00:01:46,00:01:46,00:01:46,00:01:46,00:01:46,00:01:46,00:01:46
70,00:02:02,00:02:02,00:01:58,00:01:58,00:01:52,00:01:52,00:01:47,00:01:47,00:01:42,00:01:42,00:01:42,00:01:42,00:01:42,00:01:42,00:01:42,00:01:42,00:01:42,00:01:42,00:01:42,00:01:42
69,00:01:59,00:01:59,00:01:54,00:01:54,00:01:49,00:01:49,00:01:44,00:01:44,00:01:39,00:01:39,00:01:39,00:01:39,00:01:39,00:01:39,00:01:39,00:01:39,00:01:39,00:01:39,00:01:39,00:01:39
68,00:01:56,00:01:56,00:01:51,00:01:51,00:01:46,00:01:46,00:01:41,00:01:41,00:01:36,00:01:36,00:01:36,00:01:36,00:01:36,00:01:36,00:01:36,00:01:36,00:01:36,00:01:36,00:01:36,00:01:36
67,00:01:53,00:01:53,00:01:48,00:01:48,00:01:43,00:01:43,00:01:38,00:01:38,00:01:33,00:01:33,00:01:33,00:01:33,00:01:33,00:01:33,00:01:33,00:01:33,00:01:33,00:01:33,00:01:33,00:01:33
66,00:01:49,00:01:49,00:01:45,00:01:45,00:01:39,00:01:39,00:01:35,00:01:35,00:01:30,00:01:30,00:01:30,00:01:30,00:01:30,00:01:30,00:01:30,00:01:30,00:01:30,00:01:30,00:01:30,00:01:30
