points,M=17:21,F=17:21,M=22:26,F=22:26,M=27:31,F=27:31,M=32:36,F=32:36,M=37:41,F=37:41,M=42:46,F=42:46,M=47:51,F=47:51,M=52:56,F=52:56,M=57:61,F=57:61,M=62:62,F=62:62
63,20:19,22:11,20:30,22:03,20:25,21:56,20:29,22:06,20:41,22:11,20:58,22:36,21:13,22:35,22:00,22:52,22:39,23:01,22:39,23:04
62,20:42,22:35,20:52,22:24,20:46,22:18,20:49,22:30,21:00,22:34,21:00,22:53,21:43,22:50,22:24,23:04,22:58,23:22,22:58,23:22
61,21:03,22:58,21:14,22:50,21:00,22:46,21:01,22:55,21:17,23:00,21:44,23:10,22:17,23:25,22:53,23:44,23:12,24:05,23:12,24:11
60,22:00,23:22,22:00,23:15,22:00,23:13,22:00,23:19,22:11,23:23,22:32,23:42,22:55,24:00,23:20,24:24,23:36,24:48,23:36,25:00
59,22:01,23:23,22:01,23:16,22:01,23:14,22:01,23:20,22:12,23:24,22:33,23:43,22:56,24:01,23:21,24:25,23:37,24:49,23:37,25:01
58,22:03,23:25,22:03,23:18,22:03,23:16,22:03,23:22,22:14,23:26,22:35,23:45,22:58,24:03,23:23,24:27,23:39,24:51,23:39,25:03
57,22:05,23:27,22:05,23:20,22:05,23:18,22:05,23:24,22:16,23:28,22:37,23:47,23:00,24:05,23:25,24:29,23:41,24:53,23:41,25:05
56,22:07,23:29,22:07,23:22,22:07,23:20,22:07,23:26,22:18,23:30,22:39,23:49,23:02,24:07,23:27,24:31,23:43,24:55,23:43,25:07
55,22:09,23:31,22:09,23:24,22:09,23:22,22:09,23:28,22:20,23:32,22:41,23:51,23:04,24:09,23:29,24:33,23:45,24:57,23:45,25:09
54,22:11,23:33,22:11,23:26,22:11,23:24,22:11,23:30,22:22,23:34,22:43,23:53,23:06,24:11,23:31,24:35,23:47,24:59,23:47,25:11
53,22:13,23:35,22:13,23:28,22:13,23:26,22:13,23:32,22:24,23:36,22:45,23:55,23:08,24:13,23:33,24:37,23:49,25:01,23:49,25:13
