points,M=17:21,F=17:21,M=22:26,F=22:26,M=27:31,F=27:31,M=32:36,F=32:36,M=37:41,F=37:41,M=42:46,F=42:46,M=47:51,F=47:51,M=52:56,F=52:56,M=57:61,F=57:61,M=62:62,F=62:62
75,00:01:58,00:02:34,00:01:59,00:02:35,00:02:00,00:02:36,00:02:03,00:02:40,00:02:08,00:02:45,00:02:13,00:02:50,00:02:20,00:02:57,00:02:29,00:03:07,00:02:36,00:03:21,00:02:41,00:03:21
74,00:01:59,00:02:35,00:02:00,00:02:37,00:02:01,00:02:37,00:02:04,00:02:41,00:02:09,00:02:46,00:02:14,00:02:52,00:02:21,00:02:58,00:02:30,00:03:09,00:02:37,00:03:25,00:02:43,00:03:25
73,00:02:00,00:02:37,00:02:01,00:02:38,00:02:02,00:02:38,00:02:05,00:02:43,00:02:10,00:02:47,00:02:15,00:02:53,00:02:23,00:02:59,00:02:31,00:03:10,00:02:38,00:03:32,00:02:44,00:03:32
72,00:02:01,00:02:39,00:02:02,00:02:40,00:02:04,00:02:40,00:02:07,00:02:45,00:02:12,00:02:49,00:02:17,00:02:55,00:02:25,00:03:00,00:02:32,00:03:13,00:02:40,00:03:34,00:02:46,00:03:34
71,00:02:02,00:02:40,00:02:03,00:02:42,00:02:05,00:02:41,00:02:08,00:02:46,00:02:13,00:02:50,00:02:18,00:02:56,00:02:26,00:03:02,00:02:34,00:03:16,00:02:42,00:03:35,00:02:47,00:03:35
70,00:02:03,00:02:41,00:02:05,00:02:43,00:02:06,00:02:43,00:02:10,00:02:47,00:02:14,00:02:52,00:02:20,00:02:58,00:02:27,00:03:05,00:02:35,00:03:19,00:02:43,00:03:36,00:02:49,00:03:36
69,00:02:04,00:02:44,00:02:07,00:02:45,00:02:08,00:02:45,00:02:11,00:02:50,00:02:16,00:02:55,00:02:22,00:03:00,00:02:29,00:03:08,00:02:37,00:03:25,00:02:45,00:03:40,00:02:52,00:03:40
68,00:02:06,00:02:45,00:02:08,00:02:47,00:02:10,00:02:47,00:02:13,00:02:51,00:02:18,00:02:56,00:02:23,00:03:01,00:02:30,00:03:10,00:02:38,00:03:27,00:02:47,00:03:41,00:02:56,00:03:41
67,00:02:07,00:02:47,00:02:10,00:02:49,00:02:11,00:02:49,00:02:15,00:02:53,00:02:20,00:02:58,00:02:25,00:03:02,00:02:32,00:03:14,00:02:40,00:03:29,00:02:48,00:03:43,00:02:57,00:03:43
66,00:02:08,00:02:49,00:02:11,00:02:51,00:02:13,00:02:51,00:02:16,00:02:55,00:02:21,00:03:00,00:02:26,00:03:06,00:02:34,00:03:16,00:02:41,00:03:33,00:02:50,00:03:46,00:03:00,00:03:46
65,00:02:11,00:02:53,00:02:14,00:02:54,00:02:15,00:02:54,00:02:19,00:02:58,00:02:24,00:03:02,00:02:29,00:03:10,00:02:37,00:03:21,00:02:44,00:03:38,00:02:53,00:03:54,00:03:03,00:03:54
64,00:02:13,00:02:55,00:02:16,00:02:57,00:02:17,00:02:56,00:02:21,00:03:00,00:02:26,00:03:05,00:02:31,00:03:12,00:02:39,00:03:24,00:02:46,00:03:42,00:02:55,00:04:00,00:03:09,00:04:00
63,00:02:15,00:02:58,00:02:18,00:02:59,00:02:20,00:02:59,00:02:24,00:03:02,00:02:28,00:03:09,00:02:33,00:03:17,00:02:41,00:03:29,00:02:48,00:03:45,00:02:57,00:04:08,00:03:11,00:04:08
62,00:02:17,00:03:00,00:02:21,00:03:01,00:02:22,00:03:00,00:02:26,00:03:06,00:02:31,00:03:13,00:02:36,00:03:21,00:02:44,00:03:32,00:02:50,00:03:50,00:02:59,00:04:16,00:03:12,00:04:16
61,00:02:22,00:03:08,00:02:26,00:03:09,00:02:28,00:03:07,00:02:31,00:03:15,00:02:36,00:03:21,00:02:41,00:03:31,00:02:48,00:03:42,00:02:57,00:03:58,00:03:04,00:04:21,00:03:14,00:04:21
60,00:02:28,00:03:15,00:02:31,00:03:15,00:02:32,00:03:15,00:02:36,00:03:22,00:02:41,00:03:27,00:02:45,00:03:42,00:02:53,00:03:51,00:03:00,00:04:03,00:03:12,00:04:48,00:03:16,00:04:48
60,00:02:28,00:03:15,00:02:31,00:03:15,00:02:32,00:03:15,00:02:36,00:03:22,00:02:41,00:03:27,00:02:45,00:03:42,00:02:53,00:03:51,00:03:00,00:04:03,00:03:12,00:04:48,00:03:16,00:04:48
59,00:02:29,00:03:16,00:02:32,00:03:16,00:02:33,00:03:16,00:02:37,00:03:23,00:02:42,00:03:28,00:02:46,00:03:43,00:02:54,00:03:52,00:03:01,00:04:04,00:03:13,00:04:49,00:03:17,00:04:49
58,00:02:30,00:03:17,00:02:33,00:03:17,00:02:34,00:03:17,00:02:38,00:03:24,00:02:43,00:03:29,00:02:47,00:03:44,00:02:55,00:03:53,00:03:02,00:04:05,00:03:14,00:04:50,00:03:18,00:04:50
57,00:02:31,00:03:18,00:02:34,00:03:18,00:02:35,00:03:18,00:02:39,00:03:25,00:02:44,00:03:30,00:02:48,00:03:45,00:02:56,00:03:54,00:03:03,00:04:06,00:03:15,00:04:51,00:03:19,00:04:51
